Role;Accounts;Vendors;Bills & Receipts;Pay Vendor;Transfer $$;Employees;Payroll;Reports;Accounting Setup;Customers;Point Of Sale;Discounts;Promotions;Store Credit;Services;Brands;Purchase Orders;Consignment;Items;Assemblies;Purchase Returns;Locations;Inventory;Transfer Inventory;Shipping Methods;Payment Gateways;Cash Registers;Terminals;Printers;Calendar;Employee Handbook;Messages;Documents;Images;Roles;Users;System Settings;Browser Test;Schedule
Administrator;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write
Owner;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;none;write;write;write;write
Sales Manager;write;write;write;write;write;none;none;write;none;write;write;write;write;write;write;write;write;write;write;write;write;write;write;write;read;none;none;none;none;write;read;write;write;write;none;write;none;write;none
Accountant;write;write;write;write;write;read;write;write;write;none;none;none;none;none;none;none;read;none;none;none;read;write;write;read;none;none;none;none;none;write;read;write;read;none;none;none;none;write;none
Sales Associate;none;none;none;none;none;none;none;none;none;write;write;read;read;read;read;write;write;write;write;read;write;write;write;read;read;none;none;none;none;write;read;write;read;write;none;none;none;write;none
Back End Associate;none;write;write;none;none;none;none;none;none;write;write;none;read;read;read;write;write;write;write;read;write;write;write;write;read;none;none;none;none;write;read;write;read;write;none;none;none;write;none
Guest;none;read;none;none;none;none;none;none;none;read;read;read;read;none;read;read;read;read;read;read;read;read;read;read;read;none;none;none;none;write;read;write;read;read;none;none;none;write;none
Trainee;none;none;none;none;none;none;none;none;none;read;write;read;read;read;read;read;read;read;read;read;read;read;write;read;read;none;none;none;none;write;read;write;read;read;none;none;none;write;none
